"","V1","V2","V3","V4"
"1",0.705361697253167,0.205921472980798,0.38931382247396,0.333975796536135
"2",0.0130212438601001,0.282344576534607,0.0135228047113697,0.00809752826397119
"3",0.0105824969320255,0.0101659770168099,0.189231311972731,0.00728609131840522
"4",0.0039398925054914,0.195845255239017,0.0989401565254545,0.0809583941073129
"5",0.548051585268104,0.154620139383239,0.514209970278892,0.534559282579294
"6",0.177788657907016,0.52678693030286,0.600033274803203,0.0179494311001154
"7",0.0125265374792809,0.149520945664161,0.0274089027784038,0.230056181323482
"8",0.115827942114534,0.514130394681012,0.135077759161515,0.113924644285229
"9",0.0121391871483386,0.0200576707700123,0.174415595761371,0.0625220604059595
"10",0.38736024670976,0.0390954006609637,0.277954338918385,0.564238980855846
"11",0.214204595468879,0.0184501953491279,0.190545205536415,0.00142314829136604
"12",0.067207488389871,0.0937445794563554,0.331043631777469,0.0887492478513876
"13",0.128648903557856,0.312681140845098,0.0870657999875404,0.406460776522546
"14",0.43799510686395,0.17711829609177,0.585420840180968,0.140182362270204
"15",0.174275000104502,0.0293495415419785,0.336659360888242,0.0701355547423216
"16",0.0774300231360253,0.353419736105333,0.0384610433107868,0.0871595571255533
"17",0.456326487824216,0.445932763347611,0.759635189415144,0.0494609768429884
"18",0.452045738225358,0.291307345031859,0.159648042904207,0.794803710215127
"19",0.0224771926940808,0.0397918696449225,0.247664195194782,0.017153144799547
"20",0.179513524533376,0.00891801911975996,0.00409304584619187,0.0305324002820305
"21",0.760271685034343,0.880172216008222,0.643105725259195,0.582537252821555
"22",0.554838611696389,0.796996037985385,0.472158965498931,0.145396174016713
"23",0.388951962591367,0.0097234401282144,0.0886801837597408,0.373315844311172
"24",0.286078839988191,0.0718612654654765,0.0354510209655884,0.0701114906119132
"25",0.0307156576480059,0.195486281848135,0.000361020154242136,0.0231123118466989
"26",0.0124138150476058,0.00757442703944825,0.144802741268061,0.0913708331218727
"27",0.0181989070982033,0.0159866835883361,0.176839040471148,0.0816635166594909
"28",0.00927788847090737,0.147344478278734,0.0840243066474516,0.176131826193624
"29",0.356863824334724,0.825296212755391,0.70015010059574,0.1408160550274
"30",0.136216819143351,0.00211459342799225,0.00192908922910822,0.00405823783620358
"31",0.17781913038734,0.0329522844409305,0.0182132613019619,0.00187024944439868
"32",0.174854069900016,0.000522169843033957,0.192989065257388,0.0556241014149981
"33",0.89607165328993,0.840058619391008,0.699063862236578,0.500086472956917
"34",0.37775064577628,0.0136877283498876,0.209878993528248,0.265219231614047
"35",0.193555661166534,0.00906256169987424,0.0101083279904199,0.0254790777333237
"36",0.185288546532685,0.00302602609977557,0.224838168459882,0.0658586843392635
"37",0.0238989464594404,0.249062477212753,0.016853109829712,0.113609796891288
"38",0.518134432060162,0.202160363235841,0.192299327149978,0.145113127077537
"39",0.525473597150666,0.174750412177423,0.147067422229377,0.262036091369835
"40",0.215562596286031,0.155850341529838,0.058517607413542,0.708530597537879
"41",0.244970643509827,0.0789943669307522,0.00827328298164556,0.216824732358731
"42",0.0990172964408894,0.246116234344806,0.012493023867194,0.154316530278945
"43",0.077202361123075,0.252317916879767,0.0101160630643901,0.0320955350665432
"44",0.305409348194426,0.0451782657655942,0.0455086654093745,0.076952873782023
"45",0.0105355350557651,0.0313836820275595,0.172623178883048,0.0718189180080708
"46",0.325303337708833,0.0741862136040372,0.372302979216158,0.0363319370768855
"47",0.0719950167901706,0.143213527605918,0.124554640422451,0.444709482079988
"48",0.00677806472680379,0.315619850863008,0.0425571238003271,0.0127096430050982
"49",0.35174261127565,0.0123032121344722,0.125900649866971,0.132431463256426
"50",0.366644669180635,0.0684177666081978,0.0376925660460902,0.3317384927799
"51",0.984073013803355,0.582403402048269,0.710760156964534,0.690517162472134
"52",0.614363671007026,0.561293311187775,0.801384332049948,0.606594278982931
"53",0.049180578714365,0.129015601119142,0.3242545966664,0.0660720600245916
"54",0.00363722904349741,0.0266694097876313,0.0380502635284893,0.262904705949495
"55",0.341470344645811,0.123136855522827,0.050111639907284,0.140456644200348
"56",0.0946816111297731,0.144794627196452,0.106127126549851,0.533264300891365
"57",0.0221565608810286,0.255257009523964,0.022334956424359,0.116661834836949
"58",0.159323131072072,0.000486121560010117,0.153221280168892,0.00643858437574761
"59",0.0927643945770548,0.230142276480558,0.391816918934593,0.136142069513126
"60",0.153751012744352,0.0743730422120922,0.13077162744835,0.683504002308385
"61",0.207280283393797,0.0981711562722299,0.0364751349677095,0.00308766487096021
"62",0.643926617579342,0.159026804052371,0.25576319663684,0.807869882178636
"63",0.193793641056095,0.00028027178105893,0.0107501186036547,0.0406664765071165
"64",0.303418202290757,0.490938350967636,0.142679869246104,0.114195074520173
"65",0.00147295740583422,0.0156964055312381,0.163002157255165,0.00414421858002096
"66",0.315382400380527,0.0324796355710084,0.256397218756747,0.0460597933236507
"67",0.484271387865898,0.0465782539563853,0.127580464496562,0.387673516987684
"68",0.128585641173964,0.393577400224551,0.0599772643489635,0.0279383227213775
"69",0.251990507992871,0.0908972297952661,0.011373116785045,0.194016259304808
"70",0.0866314971448922,0.191410288622029,0.00470812408171137,0.0134748138075221
"71",0.255382791077936,0.0520404560305453,0.00681872073189193,0.280292916793558
"72",0.446802211580293,0.105130333383241,0.448867196013907,0.142810226523854
"73",0.18243527264661,0.677663209377038,0.371174844318273,0.137994260850954
